"gid","id","team","b_lp","b_seq","stattype","b_pa","b_ab","b_r","b_h","b_d","b_t","b_hr","b_rbi","b_sh","b_sf","b_hbp","b_w","b_iw","b_k","b_sb","b_cs","b_gdp","b_xi","b_roe","dh","ph","pr","date","number","site","opp","wl","gametype","box"
"NW2193907021","harrc104","PH5","6","1","value","4","4","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","","","","19390702","1","NYC16","NW2","l","regular","y"
"PH5193907081","harrc104","PH5","5","1","value","4","4","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","19390708","1","PHI17","BLG","l","regular","y"
"PH5193907082","harrc104","PH5","4","1","value","4","4","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","","","","19390708","2","PHI17","BLG","l","regular","y"
"PH5193907152","harrc104","PH5","5","2","value","3","3","0","1","0","0","0","1","0","","0","0","0","","0","","","0","","","","","19390715","2","PHI17","HOM","l","regular","y"
"HOM193907161","harrc104","PH5","4","2","value","3","3","0","2","0","0","0","","0","","0","0","0","","0","","","0","","","","","19390716","1","WAS09","HOM","l","regular","y"
"HOM193907162","harrc104","PH5","8","2","value","1","1","0","1","0","0","0","","0","","0","0","0","","0","","","0","","","","","19390716","2","WAS09","HOM","w","regular","y"
"PH5193907221","harrc104","PH5","7","1","value","6","6","3","3","0","0","0","1","0","","0","0","0","","0","","","0","","","","","19390722","1","PHI17","NY5","w","regular","y"
"PH5193907222","harrc104","PH5","4","1","value","3","3","1","1","0","0","0","1","0","","0","0","0","","0","","","0","","","","","19390722","2","PHI17","NY5","l","regular","y"
"HOM193907231","harrc104","PH5","5","1","value","5","5","1","1","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","","","","19390723","1","NYC16","HOM","l","regular","y"
"HOM193907240","harrc104","PH5","4","1","value","4","4","0","1","1","0","0","1","0","","0","0","0","","0","","","0","","","","","19390724","0","GRE04","HOM","l","regular","y"
"HOM193907270","harrc104","PH5","8","2","value","3","3","1","3","0","0","0","4","0","0","0","0","0","","0","0","0","0","0","","1","","19390727","0","WAR03","HOM","w","exhibition","y"
"PH5193908051","harrc104","PH5","6","1","value","5","3","1","0","0","0","0","0","1","0","0","1","0","0","0","0","1","0","0","","","","19390805","1","PHI17","NY6","l","regular","y"
"PH5193908052","harrc104","PH5","7","1","value","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","19390805","2","PHI17","NY6","w","regular","y"
"PH5193908121","harrc104","PH5","4","2","value","5","5","0","0","0","0","0","0","0","","0","0","0","","0","","","0","","","","","19390812","1","PHI17","NW2","w","regular","y"
"PH5193908122","harrc104","PH5","6","1","value","2","2","0","0","0","0","0","0","0","","0","0","0","","0","","","0","","","","","19390812","2","PHI17","NW2","w","regular","y"
"NW2193908131","harrc104","PH5","6","1","value","4","4","0","2","0","0","0","","0","","0","0","0","","0","","","0","","","","","19390813","1","NWK04","NW2","w","regular","y"
"NW2193908132","harrc104","PH5","6","1","value","4","4","0","1","0","0","0","","0","","0","0","0","","0","","","0","","","","","19390813","2","NWK04","NW2","w","regular","y"
"PH5193909020","harrc104","PH5","6","1","value","4","4","0","1","0","0","0","1","0","0","0","0","0","","0","0","0","0","0","","","","19390902","0","CHE01","HOM","w","regular","y"
"BLG193909031","harrc104","PH5","6","1","value","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","19390903","1","NWK04","BLG","l","regular","y"
"PH5193909130","harrc104","PH5","4","1","value","4","4","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","","","","19390913","0","PHI17","HOM","w","divisionseries","y"
"PH5193909140","harrc104","PH5","6","1","value","4","4","0","1","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","","","","19390914","0","PHI17","HOM","l","divisionseries","y"
"PH5194005110","harrc104","PH5","6","1","value","4","4","1","2","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","","","","19400511","0","PHI17","BLG","l","regular","y"
"BLG194005121","harrc104","PH5","6","1","value","4","4","0","1","1","0","0","0","0","","0","0","0","","0","","","0","","","","","19400512","1","BAL09","BLG","l","regular","y"
"BLG194005122","harrc104","PH5","7","1","value","3","3","0","2","0","0","0","","0","","0","0","0","","0","","","0","","","","","19400512","2","BAL09","BLG","l","regular","y"
"PH5194005181","harrc104","PH5","7","1","value","2","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","","","","19400518","1","PHI17","NW2","w","regular","y"
"NW2194005191","harrc104","PH5","6","2","value","1","1","0","0","0","0","0","","0","","0","0","0","","0","","","0","","","","","19400519","1","NWK04","NW2","l","regular","y"
"PH5194005301","harrc104","PH5","8","1","value","3","2","0","1","0","0","0","1","0","1","0","0","0","","0","","","0","","","","","19400530","1","PHI17","NY6","w","regular","y"
"PH5194005302","harrc104","PH5","7","1","value","3","3","0","0","0","0","0","0","0","","0","0","0","","0","","","0","","","","","19400530","2","PHI17","NY6","l","regular","y"
"PH5194006011","harrc104","PH5","8","1","value","3","3","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","","","","19400601","1","PHI17","HOM","l","regular","y"
"PH5194006012","harrc104","PH5","6","1","value","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","19400601","2","PHI17","HOM","l","regular","y"
"NW2194006021","harrc104","PH5","6","1","value","2","1","0","0","0","0","0","0","1","","0","0","0","","0","","","0","","","","","19400602","1","ALB02","NW2","l","regular","y"
"PH5194006060","harrc104","PH5","7","1","value","3","3","0","0","0","0","0","0","0","","0","0","0","","0","","","0","","","","","19400606","0","PHI17","HOM","l","regular","y"
"PH5194006091","harrc104","PH5","7","1","value","4","4","0","0","0","0","0","0","0","","0","0","0","","0","","","0","","","","","19400609","1","HRB01","NY6","w","regular","y"
"PH5194006092","harrc104","PH5","7","1","value","2","2","0","0","0","0","0","0","0","","0","0","0","","0","","","0","","","","","19400609","2","HRB01","NY6","l","regular","y"
"PH5194006130","harrc104","PH5","6","1","value","4","4","0","0","0","0","0","","0","","0","0","0","","0","","","0","","","","","19400613","0","PHI17","NY6","l","regular","y"
"NY5194006140","harrc104","PH5","5","1","value","3","3","0","2","0","0","0","","0","","0","0","0","","0","","","0","","","","","19400614","0","PAT01","NY5","l","regular","y"
"PH5194006151","harrc104","PH5","6","1","value","2","1","0","0","0","0","0","0","0","","0","1","","","0","","","0","","","","","19400615","1","PHI17","NW2","l","regular","y"
"NY5194006162","harrc104","PH5","7","3","value","0","0","0","0","0","0","0","","0","","0","0","0","","0","","","0","","","","","19400616","2","NYC16","NY5","l","regular","y"
"PH5194006292","harrc104","PH5","7","1","value","1","1","0","0","0","0","0","0","0","","0","0","0","","0","","","0","","","","","19400629","2","PHI17","NY5","w","regular","y"
"PRG194210111","harrc104","PRG","6","1","value","3","3","0","1","0","0","0","0","0","","0","0","","","0","","","","","","","","19421011","1","LOS02","PIR","l","exhibition","y"
"PRG194210112","harrc104","PRG","6","1","value","2","2","0","0","0","0","0","0","0","","0","0","","","0","","","","","","","","19421011","2","LOS02","PIR","l","exhibition","y"
"PRG194210181","harrc104","PRG","6","1","value","4","4","0","1","0","0","0","0","0","","0","0","","","0","","","","","","","","19421018","1","LOS02","PIR","l","exhibition","y"
"PRG194210182","harrc104","PRG","6","1","value","3","3","1","1","0","0","0","0","0","","0","0","","","0","","","","","","","","19421018","2","LOS02","PIR","l","exhibition","y"
"PRK194211220","harrc104","PRG","7","1","value","4","4","1","2","1","0","0","0","0","","0","0","","","0","","","","","","","","19421122","0","SAN03","PRK","w","exhibition","y"
