"gid","team","inn1","inn2","inn3","inn4","inn5","inn6","inn7","inn8","inn9","inn10","inn11","inn12","inn13","inn14","inn15","inn16","inn17","inn18","inn19","inn20","inn21","inn22","inn23","inn24","inn25","inn26","inn27","inn28","lob","stattype","b_ab","b_r","b_h","b_d","b_t","b_hr","b_rbi","b_sh","b_sf","b_hbp","b_w","b_iw","b_k","b_sb","b_cs","b_gdp","b_xi","p_ipouts","p_noout","p_bfp","p_h","p_d","p_t","p_hr","p_r","p_er","p_w","p_iw","p_k","p_hbp","p_wp","p_bk","p_sh","p_sf","d_po","d_a","d_e","d_dp","d_tp","d_pb","start_l1","start_l2","start_l3","start_l4","start_l5","start_l6","start_l7","start_l8","start_l9","start_f1","start_f2","start_f3","start_f4","start_f5","start_f6","start_f7","start_f8","start_f9","start_f10","date","number","site","opp","wl","gametype","box","season"
"BIR194208140","CI2","0","1","0","0","0","0","1","1","2","","","","","","","","","","","","","","","","","","","","","lower","","5","6","","","","","","","","","","","","","","","27","","","6","","","","3","","","","","","","","","","27","","2","","0","","","","","","","","","","","henrp101","bassp101","","","","","","","","","19420814","0","SPR04","BIR","W","exhibition","","1942"
"BIR194208140","CI2","0","1","0","0","0","0","1","1","2","","","","","","","","","","","","","","","","","","","","","upper","","5","6","","","","","","","","","","","","","","","27","","","6","","","","3","","","","","","","","","","27","","2","","0","","","","","","","","","","","henrp101","bassp101","","","","","","","","","19420814","0","SPR04","BIR","W","exhibition","","1942"
"BIR194208170","CI2","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","value","","6","","","","","","","","","","","","","","","","27","","","","","","","3","","","","","","","","","","27","","0","","0","","","","","","","","","","","barbb102","","","","","","","","","","19420817","0","LOU05","BIR","W","exhibition","","1942"
"BIR194208170","CI2","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","lower","","6","","","","","","","","","","","","","","","","27","","","","","","","3","","","","","","","","","","27","","0","","0","","","","","","","","","","","barbb102","","","","","","","","","","19420817","0","LOU05","BIR","W","exhibition","","1942"
"BIR194208170","CI2","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","upper","","6","","","","","","","","","","","","","","","","27","","","","","","","3","","","","","","","","","","27","","0","","0","","","","","","","","","","","barbb102","","","","","","","","","","19420817","0","LOU05","BIR","W","exhibition","","1942"
"CI2194208210","CI2","1","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","9","value","36","1","9","2","0","0","1","0","","0","1","","3","1","","","0","27","","36","8","1","2","0","5","5","5","","6","0","0","0","2","1","27","14","1","0","0","0","neilr101","smitg105","wilsf104","lindl102","hoskd101","coler103","bassp101","olivj101","henrp101","henrp101","bassp101","lindl102","neilr101","smitg105","olivj101","hoskd101","coler103","wilsf104","","19420821","0","CIN07","KCM","L","exhibition","y","1942"
"CI2194208210","CI2","1","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","9","lower","36","1","9","2","0","0","1","0","","0","","","3","1","","","0","27","","36","8","1","2","0","5","5","4","","6","0","0","0","1","1","27","14","1","0","0","0","neilr101","smitg105","wilsf104","lindl102","hoskd101","coler103","bassp101","olivj101","henrp101","henrp101","bassp101","lindl102","neilr101","smitg105","olivj101","hoskd101","coler103","wilsf104","","19420821","0","CIN07","KCM","L","exhibition","y","1942"
"CI2194208210","CI2","1","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","9","upper","36","1","9","2","0","0","1","0","","0","","","3","1","","","0","27","","38","8","1","2","0","5","5","5","","6","0","0","0","2","1","27","14","1","0","0","0","neilr101","smitg105","wilsf104","lindl102","hoskd101","coler103","bassp101","olivj101","henrp101","henrp101","bassp101","lindl102","neilr101","smitg105","olivj101","hoskd101","coler103","wilsf104","","19420821","0","CIN07","KCM","L","exhibition","y","1942"
"BIR194208231","CI2","0","4","0","0","0","0","0","0","1","","","","","","","","","","","","","","","","","","","","13","value","38","5","11","1","0","0","","1","","0","6","","","0","","","0","27","","39","9","0","0","0","4","","4","","3","0","0","0","0","","27","11","2","1","0","0","neilr101","smitg105","wilsf104","lindl102","hoskd101","coler103","bassp101","davip103","olivj101","davip103","bassp101","lindl102","neilr101","smitg105","olivj101","hoskd101","coler103","wilsf104","","19420823","1","BIR01","BIR","W","exhibition","y","1942"
"BIR194208231","CI2","0","4","0","0","0","0","0","0","1","","","","","","","","","","","","","","","","","","","","13","lower","38","5","11","1","0","0","","1","","0","","","","0","","","0","27","","35","9","0","0","0","4","","4","","3","0","0","0","0","","27","11","2","1","0","0","neilr101","smitg105","wilsf104","lindl102","hoskd101","coler103","bassp101","davip103","olivj101","davip103","bassp101","lindl102","neilr101","smitg105","olivj101","hoskd101","coler103","wilsf104","","19420823","1","BIR01","BIR","W","exhibition","y","1942"
"BIR194208231","CI2","0","4","0","0","0","0","0","0","1","","","","","","","","","","","","","","","","","","","","13","upper","38","5","11","1","0","0","","1","","0","","","","0","","","0","27","","39","9","0","0","0","4","","4","","3","0","0","0","0","","27","11","2","1","0","0","neilr101","smitg105","wilsf104","lindl102","hoskd101","coler103","bassp101","davip103","olivj101","davip103","bassp101","lindl102","neilr101","smitg105","olivj101","hoskd101","coler103","wilsf104","","19420823","1","BIR01","BIR","W","exhibition","y","1942"
"BIR194208232","CI2","0","0","0","1","0","0","1","","","","","","","","","","","","","","","","","","","","","","7","value","29","2","8","0","0","0","","0","","0","1","","","0","","","0","21","","24","5","1","1","0","2","","2","","3","0","0","0","0","","21","10","1","2","0","0","neilr101","smitg105","wilsf104","lindl102","hoskd101","willl106","bassp101","olivj101","matcj101","matcj101","bassp101","lindl102","neilr101","smitg105","olivj101","hoskd101","willl106","wilsf104","","19420823","2","BIR01","BIR","T","exhibition","y","1942"
"BIR194208232","CI2","0","0","0","1","0","0","1","","","","","","","","","","","","","","","","","","","","","","7","lower","29","2","8","0","0","0","","0","","0","","","","0","","","0","21","","22","5","1","1","0","2","","2","","3","0","0","0","0","","21","10","1","2","0","0","neilr101","smitg105","wilsf104","lindl102","hoskd101","willl106","bassp101","olivj101","matcj101","matcj101","bassp101","lindl102","neilr101","smitg105","olivj101","hoskd101","willl106","wilsf104","","19420823","2","BIR01","BIR","T","exhibition","y","1942"
"BIR194208232","CI2","0","0","0","1","0","0","1","","","","","","","","","","","","","","","","","","","","","","7","upper","29","2","8","0","0","0","","0","","0","","","","0","","","0","21","","24","5","1","1","0","2","","2","","3","0","0","0","0","","21","10","1","2","0","0","neilr101","smitg105","wilsf104","lindl102","hoskd101","willl106","bassp101","olivj101","matcj101","matcj101","bassp101","lindl102","neilr101","smitg105","olivj101","hoskd101","willl106","wilsf104","","19420823","2","BIR01","BIR","T","exhibition","y","1942"
"CI2194208250","CI2","0","1","2","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","value","","3","5","","","","","","","","","","","","","","","27","","","8","","","","8","","","","","","","","","","27","","4","","0","","","","","","","","","","","henrp101","bassp101","","","","","","","","","19420825","0","COL05","BIR","L","exhibition","","1942"
"CI2194208250","CI2","0","1","2","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","lower","","3","5","","","","","","","","","","","","","","","27","","","8","","","","8","","","","","","","","","","27","","4","","0","","","","","","","","","","","henrp101","bassp101","","","","","","","","","19420825","0","COL05","BIR","L","exhibition","","1942"
"CI2194208250","CI2","0","1","2","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","upper","","3","5","","","","","","","","","","","","","","","27","","","8","","","","8","","","","","","","","","","27","","4","","0","","","","","","","","","","","henrp101","bassp101","","","","","","","","","19420825","0","COL05","BIR","L","exhibition","","1942"
"KCM194208270","CI2","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","value","","0","4","","","","0","","","","","","","","","","","27","","","8","1","","","1","1","","","","","","","","","27","","0","","0","","","","","","","","","","","davip103","bassp101","","","","","","","","","19420827","0","TOL05","KCM","L","exhibition","","1942"
"KCM194208270","CI2","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","lower","","0","4","","","","0","","","","","","","","","","","27","","","8","1","","","1","1","","","","","","","","","27","","0","","0","","","","","","","","","","","davip103","bassp101","","","","","","","","","19420827","0","TOL05","KCM","L","exhibition","","1942"
"KCM194208270","CI2","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","upper","","0","4","","","","0","","","","","","","","","","","29","","","8","1","","","1","1","","","","","","","","","29","","0","","0","","","","","","","","","","","davip103","bassp101","","","","","","","","","19420827","0","TOL05","KCM","L","exhibition","","1942"
"CI2194209010","CI2","0","0","0","0","0","0","0","0","2","","","","","","","","","","","","","","","","","","","","","value","","2","7","","","","","","","","","","","","","","","27","","","13","","","","10","","","","","","","","","","27","","3","","0","","","","","","","","","","","davip103","","","","","","","","","","19420901","0","CIN07","KCM","L","exhibition","","1942"
"CI2194209010","CI2","0","0","0","0","0","0","0","0","2","","","","","","","","","","","","","","","","","","","","","lower","","2","7","","","","","","","","","","","","","","","27","","","13","","","","10","","","","","","","","","","27","","3","","0","","","","","","","","","","","davip103","","","","","","","","","","19420901","0","CIN07","KCM","L","exhibition","","1942"
"CI2194209010","CI2","0","0","0","0","0","0","0","0","2","","","","","","","","","","","","","","","","","","","","","upper","","2","7","","","","","","","","","","","","","","","27","","","13","","","","10","","","","","","","","","","27","","3","","0","","","","","","","","","","","davip103","","","","","","","","","","19420901","0","CIN07","KCM","L","exhibition","","1942"
"KCM194209020","CI2","0","1","0","1","0","0","0","0","1","","","","","","","","","","","","","","","","","","","","4","value","33","3","6","2","0","2","3","0","","0","1","","","0","","","0","27","","34","8","3","1","0","2","","0","","4","0","0","0","0","","27","17","1","1","0","0","neilr101","smitg105","wilsf104","willl106","hoskd101","barbb102","bassp101","olivj101","owens101","owens101","bassp101","willl106","neilr101","smitg105","olivj101","hoskd101","barbb102","wilsf104","","19420902","0","AKR01","KCM","W","exhibition","y","1942"
"KCM194209020","CI2","0","1","0","1","0","0","0","0","1","","","","","","","","","","","","","","","","","","","","4","lower","33","3","6","2","0","2","3","0","","0","","","","0","","","0","27","","34","8","3","1","0","2","","0","","4","0","0","0","0","","27","17","1","1","0","0","neilr101","smitg105","wilsf104","willl106","hoskd101","barbb102","bassp101","olivj101","owens101","owens101","bassp101","willl106","neilr101","smitg105","olivj101","hoskd101","barbb102","wilsf104","","19420902","0","AKR01","KCM","W","exhibition","y","1942"
"KCM194209020","CI2","0","1","0","1","0","0","0","0","1","","","","","","","","","","","","","","","","","","","","4","upper","33","3","6","2","0","2","3","0","","0","","","","0","","","0","27","","34","8","3","1","0","2","","0","","4","0","0","0","0","","27","17","1","1","0","0","neilr101","smitg105","wilsf104","willl106","hoskd101","barbb102","bassp101","olivj101","owens101","owens101","bassp101","willl106","neilr101","smitg105","olivj101","hoskd101","barbb102","wilsf104","","19420902","0","AKR01","KCM","W","exhibition","y","1942"
"KCM194209062","CI2","1","0","0","1","0","1","0","0","0","","","","","","","","","","","","","","","","","","","","7","value","34","3","7","0","0","0","","1","","0","2","","","0","","","0","25","","35","6","1","0","0","4","","6","2","7","0","0","0","1","1","25","10","2","0","0","0","neilr101","smitg105","wilsf104","tatug101","hoskd101","barbb102","bassp101","olivj101","davip103","davip103","bassp101","tatug101","neilr101","smitg105","olivj101","hoskd101","barbb102","wilsf104","","19420906","2","CHI11","KCM","L","exhibition","y","1942"
"KCM194209062","CI2","1","0","0","1","0","1","0","0","0","","","","","","","","","","","","","","","","","","","","7","lower","34","3","7","0","0","0","","0","","0","","","","0","","","0","25","","32","6","1","0","0","4","","6","2","7","0","0","0","0","1","25","10","2","0","0","0","neilr101","smitg105","wilsf104","tatug101","hoskd101","barbb102","bassp101","olivj101","davip103","davip103","bassp101","tatug101","neilr101","smitg105","olivj101","hoskd101","barbb102","wilsf104","","19420906","2","CHI11","KCM","L","exhibition","y","1942"
"KCM194209062","CI2","1","0","0","1","0","1","0","0","0","","","","","","","","","","","","","","","","","","","","7","upper","34","3","7","0","1","0","","1","","0","","","","0","","","0","25","","35","6","1","0","0","4","","6","2","7","0","0","0","1","1","25","10","2","0","0","0","neilr101","smitg105","wilsf104","tatug101","hoskd101","barbb102","bassp101","olivj101","davip103","davip103","bassp101","tatug101","neilr101","smitg105","olivj101","hoskd101","barbb102","wilsf104","","19420906","2","CHI11","KCM","L","exhibition","y","1942"
"CI2194209170","CI2","0","0","0","0","2","0","1","1","0","","","","","","","","","","","","","","","","","","","","","value","","4","7","","","","","","","","","","","","","","","27","","","9","","1","","9","","","","","","","","","","27","","3","","0","","","","","","","","","","","macou101","bassp101","","","","","","","","","19420917","0","IND10","KCM","L","exhibition","","1942"
"CI2194209170","CI2","0","0","0","0","2","0","1","1","0","","","","","","","","","","","","","","","","","","","","","lower","","4","7","","","","","","","","","","","","","","","27","","","9","","1","","9","","","","","","","","","","27","","3","","0","","","","","","","","","","","macou101","bassp101","","","","","","","","","19420917","0","IND10","KCM","L","exhibition","","1942"
"CI2194209170","CI2","0","0","0","0","2","0","1","1","0","","","","","","","","","","","","","","","","","","","","","upper","","4","7","","","","","","","","","","","","","","","27","","","9","","1","","9","","","","","","","","","","27","","3","","0","","","","","","","","","","","macou101","bassp101","","","","","","","","","19420917","0","IND10","KCM","L","exhibition","","1942"
"CI2194209180","CI2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","value","","1","","","","","","","","","","","","","","","","39","","","1","","1","","2","","","","","","","","","1","39","","0","","0","","","","","","","","","","","","","","","","","","","","","19420918","0","LOU05","KCM","L","exhibition","","1942"
"CI2194209180","CI2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","lower","","1","","","","","","","","","","","","","","","","39","","","1","","1","","2","","","","","","","","","1","39","","0","","0","","","","","","","","","","","","","","","","","","","","","19420918","0","LOU05","KCM","L","exhibition","","1942"
"CI2194209180","CI2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","upper","","1","","","","","","","","","","","","","","","","39","","","1","","1","","2","","","","","","","","","1","39","","0","","0","","","","","","","","","","","","","","","","","","","","","19420918","0","LOU05","KCM","L","exhibition","","1942"
"CI2194209201","CI2","0","0","2","1","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","value","","3","7","","","","","","","","","","","","","","","27","","","4","","","","1","","","","","","","","","","27","","4","","0","","","","","","","","","","","davip103","bassp101","","","","","","","","","19420920","1","IND10","BIR","W","exhibition","","1942"
"CI2194209201","CI2","0","0","2","1","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","lower","","3","7","","","","","","","","","","","","","","","27","","","4","","","","1","","","","","","","","","","27","","4","","0","","","","","","","","","","","davip103","bassp101","","","","","","","","","19420920","1","IND10","BIR","W","exhibition","","1942"
"CI2194209201","CI2","0","0","2","1","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","upper","","3","7","","","","","","","","","","","","","","","27","","","4","","","","1","","","","","","","","","","27","","4","","0","","","","","","","","","","","davip103","bassp101","","","","","","","","","19420920","1","IND10","BIR","W","exhibition","","1942"
"CI2194209202","CI2","1","2","1","0","1","2","","","","","","","","","","","","","","","","","","","","","","","","value","","7","10","","","","","","","","","","","","","","","18","","","10","","","","4","","","","","","","","","","18","","0","","0","","","","","","","","","","","evanu102","chrit101","","","","","","","","","19420920","2","IND10","BIR","W","exhibition","","1942"
"CI2194209202","CI2","1","2","1","0","1","2","","","","","","","","","","","","","","","","","","","","","","","","lower","","7","10","","","","","","","","","","","","","","","18","","","10","","","","4","","","","","","","","","","18","","0","","0","","","","","","","","","","","evanu102","chrit101","","","","","","","","","19420920","2","IND10","BIR","W","exhibition","","1942"
"CI2194209202","CI2","1","2","1","0","1","2","","","","","","","","","","","","","","","","","","","","","","","","upper","","7","10","","","","","","","","","","","","","","","18","","","10","","","","4","","","","","","","","","","18","","0","","0","","","","","","","","","","","evanu102","chrit101","","","","","","","","","19420920","2","IND10","BIR","W","exhibition","","1942"
"CI2194209210","CI2","0","1","5","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","value","","6","14","","","","","","","","","","","","","","","27","","","10","","","2","5","","","","8","","","","","","27","","6","","0","","","","","","","","","","","davip103","bassp101","","","","","","","","","19420921","0","SPR04","BIR","W","exhibition","","1942"
"CI2194209210","CI2","0","1","5","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","lower","","6","14","","","","","","","","","","","","","","","27","","","10","","","2","5","","","","8","","","","","","27","","6","","0","","","","","","","","","","","davip103","bassp101","","","","","","","","","19420921","0","SPR04","BIR","W","exhibition","","1942"
"CI2194209210","CI2","0","1","5","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","upper","","6","14","","","","","","","","","","","","","","","27","","","10","","","2","5","","","","8","","","","","","27","","6","","0","","","","","","","","","","","davip103","bassp101","","","","","","","","","19420921","0","SPR04","BIR","W","exhibition","","1942"
"BIR194209221","CI2","0","0","0","2","0","0","0","","","","","","","","","","","","","","","","","","","","","","","value","","2","4","","","","","","","","","","","","","","","18","","","5","","","","7","","","","","","","","","","18","","4","","0","","","","","","","","","","","alleh106","bassp101","","","","","","","","","19420922","1","STJ01","BIR","L","exhibition","","1942"
"BIR194209221","CI2","0","0","0","2","0","0","0","","","","","","","","","","","","","","","","","","","","","","","lower","","2","4","","","","","","","","","","","","","","","18","","","5","","","","7","","","","","","","","","","18","","4","","0","","","","","","","","","","","alleh106","bassp101","","","","","","","","","19420922","1","STJ01","BIR","L","exhibition","","1942"
"BIR194209221","CI2","0","0","0","2","0","0","0","","","","","","","","","","","","","","","","","","","","","","","upper","","2","4","","","","","","","","","","","","","","","18","","","5","","","","7","","","","","","","","","","18","","4","","0","","","","","","","","","","","alleh106","bassp101","","","","","","","","","19420922","1","STJ01","BIR","L","exhibition","","1942"
"BIR194209230","CI2","0","0","0","0","0","1","1","","","","","","","","","","","","","","","","","","","","","","","value","","2","6","","","","","","","","","","","","","","","21","","","7","","","","4","","","","","","","","","","21","","2","","0","","","","","","","","","","","davip103","bassp101","","","","","","","","","19420923","0","OKC01","BIR","L","exhibition","","1942"
"BIR194209230","CI2","0","0","0","0","0","1","1","","","","","","","","","","","","","","","","","","","","","","","lower","","2","6","","","","","","","","","","","","","","","21","","","7","","","","4","","","","","","","","","","21","","2","","0","","","","","","","","","","","davip103","bassp101","","","","","","","","","19420923","0","OKC01","BIR","L","exhibition","","1942"
"BIR194209230","CI2","0","0","0","0","0","1","1","","","","","","","","","","","","","","","","","","","","","","","upper","","2","6","","","","","","","","","","","","","","","21","","","7","","","","4","","","","","","","","","","21","","2","","0","","","","","","","","","","","davip103","bassp101","","","","","","","","","19420923","0","OKC01","BIR","L","exhibition","","1942"
"BIR194209271","CI2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","value","","1","5","","","1","1","","","","","","","","","","","24","","","12","","","","6","","","","","","","","","","24","","0","","0","","","","","","","","","","","davip103","","","","","","","","","","19420927","1","BIR01","BIR","L","exhibition","","1942"
"BIR194209271","CI2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","lower","","1","5","","","1","1","","","","","","","","","","","24","","","12","","","","6","","","","","","","","","","24","","0","","0","","","","","","","","","","","davip103","","","","","","","","","","19420927","1","BIR01","BIR","L","exhibition","","1942"
"BIR194209271","CI2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","upper","","1","5","","","1","1","","","","","","","","","","","24","","","12","","","","6","","","","","","","","","","24","","0","","0","","","","","","","","","","","davip103","","","","","","","","","","19420927","1","BIR01","BIR","L","exhibition","","1942"
"BIR194209272","CI2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","value","","1","","","","","","","","","","","","","","","","18","","","","","","","3","","","","","","","","","","18","","0","","0","","","","","","","","","","","","","","","","","","","","","19420927","2","BIR01","BIR","L","exhibition","","1942"
